Rainfall_mm,Slope_Angle,Soil_Saturation,Vegetation_Cover,Earthquake_Activity,Proximity_to_Water,Landslide,Soil_Type_Gravel,Soil_Type_Sand,Soil_Type_Silt
189.1243762246,59.8688794915,0.9861677405,0.3233173814,6.206590858,0.339029791,1,0,0,0
202.3814361919,50.4084487605,0.958844104,0.4548345697,5.9496888646,0.8509284488,1,0,0,1
290.3452491331,52.486922789,0.8675953019,0.3322746486,4.9307069164,0.6635017691,1,0,0,0
150.7592375769,30.6282817996,0.8194935157,0.3767580791,5.6299031488,0.1759252527,0,0,0,0
152.7113045423,42.2862800314,0.6715290837,0.2465875138,5.8604263076,0.6576128923,1,0,0,0
235.2462905003,28.278616874,0.7470863212,0.2060809471,4.6099741084,0.9788928583,1,0,0,1
223.0113229439,56.7134575701,0.7737577462,0.2400313631,5.6127584051,0.4925176938,1,0,0,0
179.2864481697,50.2858240342,0.712308945,0.1097263866,5.6136807398,0.9945505108,1,0,0,0
220.4916770986,34.7846119629,0.9533976089,0.3990875096,6.3826796176,0.4281841483,1,0,0,0
294.9982228566,58.7266991981,0.9412037822,0.2177795568,4.9627443215,0.2684748569,1,0,0,0
222.7919811414,38.0440403483,0.7578765867,0.4376852563,6.325042087,0.0971764938,1,0,0,1
242.2510840049,59.6518847536,0.6560336061,0.3073318609,6.1934326798,0.8486697949,1,0,0,0
170.4931997163,49.8118848919,0.8211279908,0.2186040575,5.0494521411,0.8670723186,1,0,0,1
286.9860828835,42.8969839601,0.8006065179,0.4193180716,5.6249098269,0.3967838272,0,0,0,1
157.6152796559,56.0316002133,0.6110467087,0.3315459582,5.0961853075,0.0359422738,1,0,0,0
219.8397027199,43.9925622148,0.7146165009,0.3363333042,4.0762506248,0.0388347344,1,0,0,1
195.489827201,43.7978849519,0.7306604967,0.4311476015,4.6788572895,0.6228904758,1,0,0,1
162.8021197491,26.8088602409,0.8125418526,0.3162540486,5.5935747537,0.1327454222,0,0,0,1
295.4305300671,50.0108286463,0.6164270067,0.2595283606,5.083801844,0.0784563813,1,0,0,1
153.8026115123,58.6926945137,0.9343920482,0.3783896824,5.022382361,0.9152137276,1,0,0,1
216.3528344597,33.3925575705,0.637549316,0.1731463988,6.3365349933,0.9548652807,1,0,0,0
260.6845375044,44.4023918379,0.8446882985,0.267840025,4.6193274738,0.1586464476,1,0,0,1
168.0246971708,36.9657883351,0.6367196263,0.1376627953,4.7785332735,0.7036578594,1,0,0,1
221.1260743631,28.4241956228,0.79664635,0.2893887083,4.4330046748,0.6497736826,1,0,0,1
157.2088386296,58.2201006057,0.9546721549,0.2043574493,4.0382613507,0.5031362586,1,0,0,0
278.4734761782,48.0542771067,0.6651737708,0.128227499,5.6060481955,0.8671989336,1,0,0,0
245.4605396169,53.0332253139,0.870867337,0.3293468167,4.3212508831,0.5456167893,1,0,0,0
291.2197213165,38.513592323,0.9844762255,0.4621402568,4.489477837,0.2145891197,1,0,0,0
206.5888624842,26.3637096309,0.8473015537,0.234621686,5.6393065885,0.844875311,1,0,0,0
153.4907903604,53.5063968906,0.7127419099,0.147265931,5.7418429134,0.9366481519,1,0,0,0
155.8779490013,39.62811111,0.9870322206,0.3191887533,5.0586773558,0.8068347393,1,0,0,1
298.5757713001,39.4416186919,0.7488072343,0.4105651843,4.8520088506,0.5618666921,1,0,0,1
185.7895289686,48.7945672965,0.8959635042,0.195294461,4.9443222154,0.5052523724,1,0,0,0
273.9686199162,36.2017360361,0.9582092914,0.2556806715,4.0270941287,0.8471431441,1,0,0,0
203.2357785694,58.4880309794,0.8707079618,0.2930083799,5.2325641444,0.448445522,1,0,0,1
193.9816157547,36.5032590879,0.8690073824,0.4009498118,5.9789476093,0.113464602,1,0,0,0
289.6393658531,59.0986872987,0.9983724968,0.1223484619,5.842588892,0.3509150126,1,0,0,0
167.5600524641,30.0047088718,0.9046042527,0.3472872253,4.2528066903,0.426091475,1,0,0,0
183.3864626357,38.8828060684,0.9567587635,0.1586419287,5.2833154217,0.9866395785,1,0,0,1
206.1406193634,37.9724751473,0.9251198269,0.478899431,6.4650026596,0.3502182467,1,0,0,1
256.2271793375,41.8583445787,0.751195036,0.3820337457,4.6218103861,0.1111974823,1,0,0,0
223.8937656436,25.3973775669,0.7874642568,0.1225213103,4.2970447907,0.8227903519,1,0,0,0
261.6317485415,48.8363799484,0.6950025885,0.2600891571,5.1942872272,0.8685991282,1,0,0,0
183.5393757779,58.7127888804,0.6048617899,0.4879515307,4.1078997799,0.0434007833,1,0,0,0
288.6964995335,57.1690500348,0.7011960672,0.3781644492,4.1885863677,0.6293986381,1,0,0,0
254.3623033477,40.9089372669,0.851023232,0.3337257248,6.2528950262,0.9152543417,1,0,0,0
293.8053611112,27.0252364215,0.7578087194,0.1427024264,4.839150162,0.1881211597,1,0,0,1
219.554760741,37.3673279809,0.8334624447,0.1310938548,6.4359870192,0.4532408468,1,0,0,1
154.8473926664,34.7917227509,0.7644826883,0.3411127528,4.6773941063,0.9109271845,1,0,0,0
273.3805864385,58.2429969652,0.8902878034,0.3453660784,5.0456075907,0.8766614859,1,0,0,1
232.7381808816,30.7691991398,0.7645020466,0.4110409135,5.2009252047,0.1504168911,1,0,0,0
239.1196073028,38.3311799821,0.9879657591,0.4368475693,6.0958217618,0.0368218676,1,0,0,1
170.0778178201,25.4785187689,0.6301436241,0.3766857589,5.3358656876,0.9966368371,1,0,0,0
233.3147558404,51.9145595313,0.977906292,0.4398589563,4.6183702544,0.2050453285,1,0,0,1
187.7163659268,34.6156128959,0.6828910596,0.451288267,5.8924978304,0.358162718,1,0,0,1
167.0336388299,48.5050618457,0.8081230804,0.4089273567,5.3004087528,0.8163857352,1,0,0,1
295.196064816,28.0942878178,0.9167271358,0.3359823589,5.2001149175,0.7551372557,0,0,0,0
243.046432703,49.6427918835,0.6851856646,0.1545485902,4.0363616642,0.6080878495,1,0,0,1
245.4966482433,44.418546299,0.6364008364,0.3905588131,5.3686157672,0.7836530127,1,0,0,0
209.4814173482,46.773034508,0.9449454835,0.4798082495,4.3676837023,0.842091415,1,0,0,1
265.3376611973,27.3182592248,0.6183445066,0.3483222738,4.8685335206,0.6334008543,1,0,0,1
186.0218428167,27.6552164838,0.6515518888,0.1512183356,4.3797567338,0.6976675737,1,0,0,1
177.0100908524,49.3775513179,0.7646644857,0.4497270419,5.2880901372,0.1723198712,1,0,0,1
178.8433528213,26.4304015693,0.6675740252,0.2114361356,4.4425262107,0.5487153092,1,0,0,0
230.1635255599,37.4597019495,0.9576869052,0.1514993593,4.8252487833,0.0393121398,1,0,0,0
269.9115598364,46.9765136322,0.6327036128,0.4494314496,6.3021810013,0.0025950244,1,0,0,0
280.2451660553,27.9580952688,0.8389112329,0.4945027983,5.341476615,0.4845229852,1,0,0,1
242.7382157295,37.9119773849,0.7850138865,0.3989883753,4.0917080072,0.1331169286,1,0,0,1
253.0748258105,54.5554235422,0.8998464928,0.1121888611,6.1680374527,0.5326172665,1,0,0,1
186.3705755452,34.4235130832,0.7509136652,0.1080284791,4.805197914,0.0892043287,1,0,0,0
230.3003346023,33.1625744042,0.7371707457,0.2895879766,4.8877607582,0.4984421989,1,0,0,0
163.0380432131,43.7987289636,0.8347364472,0.3981757897,5.0791488656,0.378772626,1,0,0,0
200.6170250808,56.4876589001,0.8430220889,0.1977412622,5.2456192446,0.6057748194,1,0,0,1
185.5840187604,28.5623865417,0.6611436557,0.1983830914,4.4017034331,0.0878876245,0,0,0,0
270.8797330112,26.9478721275,0.9369256141,0.1206541911,4.0456062036,0.9823786169,1,0,0,0
166.8058353252,38.9249459666,0.9877881733,0.4462028504,6.0426801774,0.4907487793,1,0,0,0
258.4344144933,53.7301515604,0.8873829083,0.3140146928,5.1915487103,0.7694929332,1,0,0,0
178.0565622836,36.3287732741,0.7701745754,0.3030441515,4.606024331,0.7072300956,1,0,0,0
265.1669252164,28.0551562856,0.8024415825,0.4728057369,4.8016054804,0.0518235368,1,0,0,0
200.4906417291,29.7045136929,0.6253499882,0.495984093,4.8058846124,0.0878681112,1,0,0,1
170.8237160163,25.0948814795,0.6466784257,0.2892664804,5.5152547026,0.3488682665,1,0,0,0
289.4293716372,54.0716792726,0.9860107643,0.1497188894,5.827168688,0.2050018101,1,0,0,0
206.8842877446,57.4257298256,0.8886386203,0.1192378576,5.9537862044,0.7952673119,1,0,0,0
180.2440980072,30.7279580003,0.6657063192,0.4258298881,5.6629930517,0.9078661305,1,0,0,1
197.4294873445,45.5907336528,0.8731928254,0.2807794405,5.7844561371,0.4626797857,1,0,0,1
195.2066811246,51.1663283062,0.801088156,0.1928850781,6.2489364332,0.5318574797,1,0,0,0
159.9928668586,33.0158886824,0.8171397242,0.2726112573,4.8320394648,0.3349056147,1,0,0,0
170.8908108995,52.7908816245,0.8480291024,0.3133844368,6.2347314576,0.9976926159,1,0,0,1
262.8604680058,49.7443161435,0.9114287756,0.1572511942,4.5113614829,0.7624586857,0,0,0,1
281.5148455143,36.9728612051,0.9285029219,0.1442526948,6.1161307293,0.6039578721,1,0,0,1
225.3432521194,43.8951222989,0.7945429928,0.2635820708,5.9297049515,0.6411476329,1,0,0,0
254.0922666701,43.9953555172,0.7007196236,0.2382783974,4.453994292,0.3425242572,1,0,0,1
184.1026474545,39.8258901847,0.7151718466,0.3459801053,6.2796310221,0.5058886789,1,0,0,1
241.7181353152,25.6338564337,0.9488495636,0.472847313,5.412832959,0.7900846371,1,0,0,1
153.4533907181,47.7978523846,0.9084986674,0.2497741479,4.1723038484,0.7364442356,0,0,0,0
290.1550522154,57.3948979517,0.7803357486,0.1452952183,6.4621029974,0.1863208795,1,0,0,1
275.6236183504,36.6251244429,0.7245777056,0.1909582484,5.5197359845,0.0547616388,1,0,0,0
200.2795862469,53.0998707009,0.6018528092,0.2333996687,4.995421734,0.8635181406,1,0,0,0
288.4440347698,41.2995042812,0.7923347912,0.46738189,5.4676705603,0.4524395161,1,0,0,0
171.128553057,31.1735445277,0.7993471091,0.2675701798,6.2871147527,0.7804957075,1,0,0,0
191.6380758944,32.7034024928,0.6850723137,0.306069473,6.4388532892,0.1486627278,1,0,0,0
212.1936185591,27.9872383828,0.9987497007,0.3008780041,5.4884625433,0.3973181155,1,0,0,0
214.0183358005,52.9923707726,0.7397547996,0.2872927314,5.5624399676,0.4720669451,1,0,0,0
234.7261699894,27.29980238,0.9102110467,0.2813155339,5.3109756733,0.4810879484,1,0,0,1
224.5517923232,51.7874698373,0.6411925917,0.2337451245,4.1887584095,0.3733093163,1,0,0,0
190.6117009715,47.5399840134,0.7634936684,0.1101545423,4.3903814934,0.86699376,1,0,0,1
211.1976743047,44.3102908341,0.7015554256,0.1784452399,5.2637696978,0.104108582,1,0,0,1
269.987412806,31.2490631719,0.8610984431,0.1952731124,4.2486034819,0.988728782,1,0,0,1
240.4796103265,53.2397552137,0.9850597274,0.4777638902,4.3527046219,0.2931477303,1,0,0,1
284.4503727782,25.4550673229,0.6342034123,0.1831545021,4.0663305097,0.8764440759,0,0,0,0
246.4388345421,49.6381147298,0.9642496014,0.3499045084,4.8396646429,0.3796924082,1,0,0,0
238.5442413772,34.3822274288,0.8496595631,0.2637646609,5.3801179521,0.86106802,1,0,0,1
182.9265787621,59.109154282,0.9119035099,0.1456951704,5.4144415499,0.8945522269,1,0,0,0
269.9782883921,39.8824726564,0.6089877233,0.2074709438,5.3540855367,0.4025500436,1,0,0,0
182.7034661241,47.5768958719,0.7686815738,0.1529104845,6.2514307531,0.2723073265,1,0,0,1
152.7586014821,57.0004582296,0.6471004332,0.3306065902,4.6851380517,0.405248088,1,0,0,0
224.619734097,50.2070903571,0.6426314921,0.1560074155,4.6592095066,0.8738900776,1,0,0,0
239.6119653255,46.0180901152,0.8660146698,0.1701485114,6.2860298648,0.4043815015,1,0,0,1
265.6367065596,39.7712620843,0.7415485506,0.4834508709,4.4609273017,0.6031521095,1,0,0,0
186.8023664522,38.6253464915,0.7154774947,0.2422690866,5.797614763,0.610404667,1,0,0,0
292.3960195587,38.8827280568,0.9816347746,0.154000511,5.2093873548,0.0311831351,1,0,0,1
189.339606645,45.8277275745,0.6205703254,0.2985464989,5.4921071223,0.6233325509,1,0,0,1
221.1355963051,37.0534306215,0.7406160645,0.2651174202,5.7623138742,0.4348273386,1,0,0,1
186.9603049859,53.6685811186,0.9197663516,0.3778785883,4.6803628431,0.103093746,1,0,0,1
197.1894835214,53.2600588136,0.9848395143,0.4160054235,5.7264005811,0.1851329288,1,0,0,0
231.2851421068,55.5531042557,0.8928899546,0.4226244591,5.6469584168,0.6372315798,1,0,0,1
297.086520027,56.6177334423,0.8586659676,0.3772700846,4.1289895166,0.0394268114,1,0,0,1
255.8362758774,57.3836911095,0.6722301381,0.3271780922,6.288720744,0.1205225788,1,0,0,1
259.6535507187,31.7409659725,0.6461128085,0.2687050639,5.9883545949,0.862042651,1,0,0,0
276.6824097803,36.1685165635,0.9315661897,0.1148030539,5.4906746962,0.560677194,1,0,0,0
222.1592825766,55.9749424783,0.8121060531,0.2764128647,5.0112136242,0.3152903378,1,0,0,0
230.9236938563,52.6753107694,0.7275010012,0.3503565506,6.2149443706,0.8766653779,1,0,0,1
212.6259126042,41.1679997701,0.9961365253,0.1000950094,4.4636822739,0.9390676985,1,0,0,1
269.8174853661,59.9276938687,0.7402847262,0.4068753156,5.004827284,0.4797813269,1,0,0,0
237.1135810841,34.5090439874,0.7593149536,0.136679734,4.8409261596,0.7375823016,1,0,0,1
185.8165718652,28.8665939596,0.7418488631,0.2148955967,4.7407703011,0.5891085345,1,0,0,1
191.5898468545,56.861868572,0.6180402709,0.1437870395,4.9790753514,0.2182538879,0,0,0,1
292.4941775925,52.5220755045,0.6357644009,0.2670323103,6.1977957689,0.6007984464,1,0,0,1
285.5585950763,59.6214718435,0.8973411292,0.1259945638,5.0039505911,0.649646649,1,0,0,0
241.1605192318,42.9440978856,0.6922679247,0.1706112128,4.5512155227,0.957270263,1,0,0,0
273.9308543691,53.0269390495,0.8519111692,0.1865296092,5.2956509167,0.9949078226,1,0,0,1
176.0842873829,38.8684706616,0.9032953903,0.3784082472,4.3847397658,0.4633807482,1,0,0,1
243.4406074403,51.1755061432,0.6139460641,0.4579685765,6.150317041,0.8774608626,1,0,0,0
189.8400063883,29.5330222449,0.9554992319,0.4822605993,6.1553190432,0.3290513654,1,0,0,0
289.7384232478,50.7324429083,0.7125563842,0.2010596376,4.0127053495,0.7234201137,1,0,0,0
224.3813602618,27.8366175568,0.6880732808,0.3733035055,4.1903271487,0.0615170262,1,0,0,0
282.4359403706,43.0627657155,0.9626054878,0.3285275768,5.6552800253,0.565731964,1,0,0,1
190.0542405254,55.7520495224,0.9189704086,0.3633807339,6.1264543227,0.1604001053,0,0,0,0
200.1013318118,33.3541510955,0.9720361402,0.1423336375,5.7474768451,0.1586051053,1,0,0,1
282.1306138798,55.5145234711,0.6116989132,0.4303267002,4.3221746687,0.2286251615,1,0,0,0
286.3051963904,25.0392039018,0.822472694,0.4026543215,4.6467208267,0.2870381332,1,0,0,1
242.5390377564,59.341516231,0.8527254108,0.2039214324,5.5850142577,0.8186794205,1,0,0,1
169.267307714,34.9170031893,0.6073710875,0.2728963136,6.1003037569,0.6326218931,1,0,0,1
289.8042158265,28.5878404797,0.9748913949,0.3751542889,4.1695926478,0.1663775869,1,0,0,0
265.6476438798,49.8000201611,0.7894295554,0.1231681842,4.1867360444,0.8715368062,1,0,0,1
296.0233453766,58.910724935,0.8998607327,0.1520344961,5.8956579898,0.0656261446,1,0,0,0
273.2269421111,38.0141735234,0.9275142573,0.2010034999,4.0025736996,0.2736266663,1,0,0,1
299.5686750237,39.9163455783,0.7805548097,0.1654495285,5.9870238719,0.298374431,1,0,0,0
275.9920747009,52.0487973006,0.6920214732,0.1525340506,6.1701358063,0.1510578918,1,0,0,1
214.8502201564,58.0265572059,0.7678909268,0.3554103791,4.9939859949,0.4422987624,0,0,0,0
196.7927985743,36.2259959153,0.889769069,0.3983348048,4.5008978589,0.6516668254,1,0,0,0
205.2789515586,55.2525387444,0.7892839627,0.4872773712,4.4638137893,0.0911644904,0,0,0,0
173.0487057242,40.8792772112,0.8121417575,0.107144757,5.9919945697,0.0325261795,1,0,0,1
288.1271771724,46.5827610082,0.9186149164,0.2926089406,4.2932704724,0.6073064483,1,0,0,0
187.1309933405,44.5444435404,0.690216057,0.1643301876,5.628798667,0.2689934044,1,0,0,0
269.6338650956,35.8626685623,0.7820880596,0.104648216,4.1811172195,0.3955450839,1,0,0,1
296.2049777806,50.2660669774,0.862793543,0.402823707,6.3816215951,0.0396188253,1,0,0,0
222.0760420887,28.6725562446,0.6968180063,0.4946650373,4.3562388573,0.4823563816,1,0,0,1
181.5524369878,37.1105798676,0.9103218943,0.4764950017,4.1810406804,0.0878664991,1,0,0,0
202.5940396814,26.1621088077,0.6314313989,0.2587693105,4.3317893851,0.2008590899,1,0,0,0
253.9790911234,53.7504254803,0.6164733981,0.3681541833,6.3788749359,0.7064757265,1,0,0,0
154.7379217238,57.7674286185,0.6207885135,0.3165185341,5.7726512986,0.9473504626,1,0,0,1
243.7956990321,52.419795408,0.8449031944,0.293759379,5.6520502957,0.5475923762,1,0,0,1
272.5946654944,40.8311399581,0.8574310781,0.3105610644,5.8289738044,0.7248265599,1,0,0,0
238.9917972465,47.7602965056,0.7917115714,0.3462968088,4.8225435945,0.3368957918,1,0,0,1
177.3176873533,52.63944775,0.8634831102,0.2992782866,5.3884088773,0.6532630192,1,0,0,1
199.8471938033,43.9867522502,0.7973107387,0.1326105958,5.0081534028,0.072198409,1,0,0,0
154.5978753309,34.0189010979,0.7850491827,0.4473090022,5.8179226744,0.846245292,1,0,0,0
244.3147227309,50.7372604533,0.9070895552,0.3019379528,5.3582513084,0.5786754086,1,0,0,0
215.7923128784,50.3840181145,0.7946675766,0.4493692952,6.25175466,0.6550093388,1,0,0,1
298.8199974511,34.9349085013,0.7436604119,0.2535388607,5.1645320176,0.7331130224,1,0,0,0
169.7351527691,50.0538737639,0.9636130083,0.1718732435,4.5938583123,0.5126152052,1,0,0,1
211.9546761972,27.4196475165,0.7748661555,0.138957357,5.0125519977,0.5148173539,1,0,0,1
203.88500541,45.7532798002,0.665409549,0.2564326147,6.4235308058,0.8579862539,1,0,0,1
151.3545606194,45.5944421669,0.839485592,0.2586639105,4.5925696428,0.2360504633,1,0,0,0
161.0245120995,30.9415266781,0.8079095794,0.2348012706,6.0722084147,0.4494338352,1,0,0,0
238.1826556666,58.2004174198,0.7010111128,0.2437002992,4.9483964748,0.7364020151,1,0,0,0
249.5706791433,41.6120806512,0.9376681796,0.4222680612,5.463385911,0.5581402496,1,0,0,0
230.9858759253,26.1965718079,0.9946771921,0.1491883234,4.5778272811,0.0393435407,1,0,0,1
168.3164871015,40.8269659899,0.973550007,0.226462442,5.2680870217,0.6882078659,1,0,0,1
209.6068482697,41.7963978557,0.8743870944,0.1069519161,4.8078266427,0.8679182945,1,0,0,0
218.2109783451,43.0458610003,0.7955386321,0.366745703,4.3491281369,0.1327146538,1,0,0,1
171.5313543059,57.8936927174,0.8931595673,0.1649527579,4.4708727094,0.6726021182,1,0,0,0
216.5625328957,55.3849789032,0.6708599158,0.3770503809,6.0952882241,0.3742967671,1,0,0,1
152.6273986293,33.5451551648,0.9323508765,0.4458435344,5.9212984113,0.9309486955,1,0,0,0
253.4290126547,48.6779685022,0.686270061,0.3635541881,4.9846610141,0.5771852367,1,0,0,0
202.2860500863,30.5750605835,0.8419815691,0.2272446214,6.1660966688,0.8707534503,1,0,0,0
267.3578226087,44.8455691345,0.8953796837,0.4514062245,5.0103508041,0.9256748309,1,0,0,1
215.7258519618,56.5481477356,0.9511564636,0.2268782867,6.1722515639,0.1202090554,1,0,0,0
231.6733646941,25.2015531174,0.729834332,0.2465846139,4.990431729,0.3804197042,0,0,0,0
232.2749582477,45.8769916245,0.8182747554,0.2777677811,4.0366676426,0.6034485934,1,0,0,0
250.2319197833,46.6821621103,0.7853976175,0.2519143121,6.1583341239,0.8471673614,1,0,0,1
287.1354773927,53.4818200912,0.6435673367,0.1595967424,5.3165594932,0.5336025467,1,0,0,0
241.185763919,51.770914154,0.9251942955,0.3872492305,6.3888092399,0.8223934188,1,0,0,0
214.6293137307,56.3850001444,0.628512108,0.481864012,5.6367327036,0.0602673903,1,0,0,0
290.1654040208,37.3067940534,0.6405683314,0.2943487037,4.6419414193,0.6700960346,1,0,0,1
289.4408816133,43.6291074669,0.8323728213,0.1358505357,5.7940894648,0.2726240007,1,0,0,1
212.0323652288,29.2660132668,0.6724597398,0.3724471416,4.4535958692,0.1845851295,1,0,0,0
194.291743383,52.7692540352,0.6740913786,0.4671009957,5.061318563,0.8059925498,1,0,0,1
232.5339813234,26.5194386499,0.8532605502,0.4805613369,5.5040295504,0.5151751703,1,0,0,1
239.0307853685,52.7810347633,0.8586423654,0.1699093771,4.9019312978,0.9000231234,1,0,0,1
203.0132068954,33.2904695641,0.9122102061,0.2099224142,6.0565357963,0.6714246695,1,0,0,1
271.4294963653,51.832964732,0.6598815872,0.2695779252,4.3824595021,0.7368737449,0,0,0,0
279.4195616315,32.5858930032,0.6382858222,0.1094554344,5.6049287511,0.2061861645,0,0,0,1
245.6941189974,33.9909346676,0.8528061944,0.1233818456,4.3544359838,0.1364397526,1,0,0,1
254.2716831071,39.1511568837,0.771279846,0.3870391063,5.7310903783,0.3410900245,1,0,0,0
272.8060585679,46.1126793575,0.7348908531,0.4622099169,5.9315568186,0.0856582496,1,0,0,1
284.1286311996,31.7153563652,0.7293486248,0.1906625609,4.8874907646,0.4424099365,1,0,0,1
274.7794669877,48.4360915647,0.6279726423,0.3560672895,4.6778685913,0.650877369,1,0,0,1
229.9436679827,36.351681359,0.7332007652,0.3677947821,6.4853484031,0.3629442718,1,0,0,1
299.3220736056,40.6223322919,0.7334278198,0.3321900027,4.2219184853,0.1753029424,1,0,0,0
253.5007336231,32.0326791031,0.8143310738,0.1386705799,5.1259273406,0.0012366798,1,0,0,1
195.127966253,59.3432731021,0.7899546174,0.2530105121,4.299572505,0.1524160133,1,0,0,0
298.8725253238,57.4450338774,0.8159828521,0.4368133178,5.3023949432,0.2570472664,1,0,0,1
268.1852982438,55.2640167212,0.8433945651,0.3027353727,4.3982600515,0.0361603805,1,0,0,0
195.4692533918,34.2089399469,0.744054563,0.1350570987,6.3423945576,0.5097242468,1,0,0,0
273.7929162349,34.7896238465,0.9769548076,0.4493346647,4.4044105284,0.4969634829,1,0,0,1
298.8237022235,54.7998735211,0.6834042057,0.4722380859,4.2909159947,0.6279500528,1,0,0,1
251.1455709614,43.6368417396,0.8885688269,0.1565112197,4.5299562273,0.0809192831,1,0,0,1
210.4470268148,31.0733580245,0.8779804356,0.2384398906,6.4390255021,0.9327307405,1,0,0,1
236.2745025745,41.7774054048,0.7254910765,0.3425483778,4.3479950615,0.7648098009,1,0,0,1
176.2257940891,42.5898126762,0.7594652111,0.1585495969,4.9188360557,0.478234023,1,0,0,1
225.916133227,33.1392975428,0.6319861577,0.4106894522,4.3050876303,0.3118161331,1,0,0,1
225.921279426,40.3829091022,0.6422658737,0.3563305259,4.5400954563,0.6025531638,1,0,0,1
204.7197328717,38.5261294406,0.8257764363,0.1767129822,4.5293883767,0.9948663172,0,0,0,1
158.6670841495,49.32623301,0.9934715701,0.1956720417,4.3556234217,0.7826960407,1,0,0,0
189.8081113782,31.2218235748,0.8766472222,0.3472206697,5.582974065,0.8139702695,1,0,0,1
242.2829157347,35.7188767275,0.8495583345,0.3108165856,5.0652084597,0.7920936338,1,0,0,0
210.7197643628,47.892652838,0.7416944962,0.3102018488,5.2040871163,0.7336143806,1,0,0,0
265.3957340462,25.386094255,0.7664615993,0.2925376607,4.0479806921,0.5821482298,1,0,0,0
252.1462240857,31.6393196861,0.8475792772,0.229400158,6.0857584149,0.9758737549,1,0,0,0
270.2305667824,58.5851825512,0.7951416176,0.1438944795,5.3698987224,0.499333835,1,0,0,0
189.9028917008,30.2233222283,0.6508799051,0.4458641569,4.608694921,0.4760181294,1,0,0,1
206.3832427719,38.80666975,0.7837787074,0.4140066175,6.2302117224,0.1021495297,1,0,0,0
248.8038219311,57.9990899495,0.9235533847,0.1305667438,4.6984192848,0.038426349,1,0,0,1
285.2642988203,41.1517112619,0.8548805907,0.3637415689,6.2377943518,0.2269646944,1,0,0,1
283.4086374193,40.7716879855,0.9529837762,0.142277392,6.4706881775,0.6802277792,1,0,0,0
156.2509350904,27.9677205616,0.8865293552,0.1288337344,4.1781418194,0.035570867,1,0,0,1
226.2868934171,38.5658331019,0.7847787747,0.4966353635,6.4268748942,0.6613706111,1,0,0,0
177.7793351801,31.0938267367,0.6393582599,0.3641210879,5.9109316556,0.4242968859,1,0,0,1
